#	author	work	ref	greek_form	greek_context	class	reason
1	Plutarch	tlg0007/tlg047	77.4	ἀδελφῆς	προσαγαγοῦσα μετὰ τῆς ἀδελφῆς ἀπέκτεινε	B	Narrative biological sibling in Lives
2	Plutarch	tlg0007/tlg095	14	ἀδελφοῦ	Εὐκλείδης τοῦ ἀδελφοῦ πρὸς αὐτὸν ἐκ διαφορᾶς εἰπόντος	B	Brother in Moralia ethical example
3	Plutarch	tlg0007/tlg081	35.1	ἀδελφὸν	πυθόμενος τὸν ἀδελφὸν σῴζεσθαι	B	Antiochus — royal biological sibling
4	Plutarch	tlg0007/tlg060	46.1	ἀδελφοὺς	τοὺς δὲ ξένους ἀδελφοὺς καὶ πολίτας	E	Dion calling strangers "brothers and citizens" — rhetorical civic extension
5	Plutarch	tlg0007/tlg047	30.2	ἀδελφὴν	τὴν βασιλέως γυναῖκα καὶ ἀδελφὴν	B	Royal wife-and-sister — biological
6	Plutarch	tlg0007/tlg053	5.5	ἀδελφόν	ἀδελφόν ἄνευ δίκης καὶ δόγματος	B	Biological brother in Cicero-Life narrative
7	Plutarch	tlg0007/tlg081	8.1	ἀδελφὸς	Ἀρταξέρξης ὁ τούτου μὲν ἀδελφὸς Μνήμων	B	Persian royal brother — biological
8	Plutarch	tlg0007/tlg031	24.3	ἀδελφούς	ἐᾶτε τοίνυν τοὺς ἀδελφούς	D	Tribal/ethnic reference (context on land rights)
9	Plutarch	tlg0007/tlg028	19.3	ἀδελφοῦ	Τίτος τῇ συμφορᾷ τοῦ ἀδελφοῦ περιπαθῶν	B	Flamininus brothers — biological
10	Plutarch	tlg0007/tlg084a	75	ἀδελφικὸν	ὡς συγγενὲς καὶ ἀδελφικὸν σεβόμενοι τοῦ ἀσβέστου καὶ ἀθανάτου πυρός	E	Fire as "brother-like" to the unquenchable — cosmic/philosophical metaphor
11	Plutarch	tlg0007/tlg030	9.2	ἀδελφούς	τοὺς ἀδελφούς οὕτως ἄμικτός ἐστι καὶ θηριώδης ἡ τῆς πλεονεξίας	B	On Brotherly Love — biological siblings in ethical argument
12	Plutarch	tlg0007/tlg083	15	ἀδελφὴν	τὴν μὲν ἀδελφὴν αὐτὴ διδάξασα τῷ τραχήλῳ περιβαλέσθαι τὸν βρόχον	B	Biological sister in narrative
13	Epictetus	tlg0557/tlg001	4.7.35	ἀδελφούς	ἀδελφούς πάντων παραχωρεῖν πάντα ἀφιέναι	E	Stoic rhetorical vocative — universalist address
14	Epictetus	tlg0557/tlg001	2.21.12	ἀδελφός	πῶς ὁ πατὴρ τὰ πρός σε ἢ πῶς ὁ ἀδελφός	B	Family-role example, biological
15	Epictetus	tlg0557/tlg001	3.19.1	ἀδελφόν	οὐαί μοι διὰ τὸ παιδάριον διὰ τὸν ἀδελφόν οὐαὶ διὰ τὸν πατέρα	B	Kinship-worry list, biological
16	Epictetus	tlg0557/tlg001	2.10.13	ἀδελφοῦ	εἰ δὲ τοῦ ἀδελφοῦ ἐπελάθου καὶ ἀντὶ ἀδελφοῦ ἐχθρὸς ἐγένου	B	Becoming "enemy instead of brother" — biological ethics
