#	author	work	ref	greek_form	greek_context	class	reason
1	Polybius	tlg0543/tlg001	3.79.4	ἀδελφὸν	τὸν ἀδελφὸν ἀπέλιπε Μάγωνα	B	Hannibal leaves brother Mago — biological
2	Polybius	tlg0543/tlg001	10.5.2	ἀδελφόν	στάντος παρὰ τὸν ἀδελφόν	B	Scipio next to his brother — biological
3	Polybius	tlg0543/tlg001	5.87.6	ἀδελφῆς	ἀνέζευξε μετὰ τῆς ἀδελφῆς καὶ τῶν φίλων	B	Ptolemaic sister, biological (also sister-wife)
4	Polybius	tlg0543/tlg001	15.33.7	ἀδελφαῖς	Ἀγαθόκλεια γυμνὴ σὺν ταῖς ἀδελφαῖς	B	Agathocleia's biological sisters
5	Polybius	tlg0543/tlg001	27.18.1	ἀδελφὸν	τὸν ἀδελφὸν Εὐμένη	B	Attalus and brother Eumenes — biological
6	Polybius	tlg0543/tlg001	31.19.2	τἀδελφοῦ	τῆς τἀδελφοῦ πλεονεξίας	B	Brother's greed — biological
7	Polybius	tlg0543/tlg001	10.4.4	τἀδελφοῦ	θύουσαν τοῖς θεοῖς ὑπὲρ τἀδελφοῦ	B	Mother praying for son's brother — biological
8	Polybius	tlg0543/tlg001	4.50.9	ἀδελφὸν	πατρὸς ἀδελφὸν	B	Father's brother = uncle (biological kin)
9	Polybius	tlg0543/tlg001	10.4.6	τἀδελφῷ	ἅμα τἀδελφῷ καθεσταμένος ἀγορανόμος	B	With the brother holding office — biological
10	Polybius	tlg0543/tlg001	10.4.3	ἀδελφὸν	τὸν ἀδελφὸν ἐφιξόμενον τῆς ἀρχῆς	B	Scipio's brother attaining office — biological
11	Polybius	tlg0543/tlg001	5.41.2	τἀδελφοῦ	Σελεύκου τἀδελφοῦ ταύτην αὐτῷ τὴν πίστιν ἐγχειρίσαντος	B	Seleucus the brother — biological royal
12	Polybius	tlg0543/tlg001	28.7.15	τἀδελφῷ	τὰς ὑπαρχούσας Εὐμένει τἀδελφῷ τιμάς	B	Honors to brother Eumenes — biological
